size,cpus,time
2600,8,24.9573303
3000,8,50.7246924
3600,8,78.9048166
4000,8,103.6748604
5000,8,172.6958108
6000,8,246.3024606
7000,8,304.9830376
100,10,0.0038207
200,10,0.0052437
400,10,0.0215911
1000,10,0.276229
1200,10,0.7369671
800,10,0.5083181
1400,10,1.0926876
1600,10,1.3734157
2000,10,11.2153477
2600,10,27.8577256
3000,10,48.2888149
3600,10,79.9252976
4000,10,108.5514776
5000,10,172.2813811
6000,10,246.8858214
7000,10,297.5955165
100,16,0.0055297
200,16,0.0054857
400,16,0.0133265
800,16,0.0823617
1200,16,1.640077
1000,16,2.8258866
1400,16,3.9474177
2000,16,5.399171
1600,16,5.2546026
2600,16,23.6298536
3000,16,36.8136726
4000,16,97.6705786
3600,16,77.9481763
5000,16,168.7448888
6000,16,237.7770184
7000,16,282.0781407
100,1,0.0013834
200,1,0.011581
400,1,0.0949754
800,1,0.8095752
1000,1,1.5898121
1200,1,2.7579702
1400,1,5.0547433
1600,1,7.5245061
2000,1,16.0906547
2600,1,47.3227725
3000,1,80.5226942
3600,1,129.0400705
4000,1,170.3245559
5000,1,355.6317441
6000,1,605.9656453
7000,1,1066.852722
100,1,0.0013546
200,1,0.0107987
400,1,0.0919023
800,1,0.7473886
1000,1,1.5914224
1200,1,2.8079187
1400,1,4.8314006
1600,1,7.7431663
2000,1,15.818329
2600,1,47.1353862
3000,1,77.9345291
3600,1,126.9910866
4000,1,168.8955412
5000,1,354.6555735
6000,1,605.4499778
7000,1,1070.757286
100,1,0.0012378
200,1,0.0109194
400,1,0.094559
800,1,0.7877215
1000,1,1.5168233
1200,1,2.7572225
1400,1,4.7736864
1600,1,7.384182
2000,1,16.4180682
2600,1,48.3311978
3000,1,80.4028297
3600,1,129.4235994
4000,1,171.6512558
5000,1,356.0624069
6000,1,605.3510213
7000,1,1068.813303
100,1,0.001319
200,1,0.0113129
400,1,0.090939
800,1,0.7817298
1000,1,1.5271494
1200,1,2.7663036
1400,1,4.7999244
1600,1,7.1597184
2000,1,15.8020246
2600,1,46.1377147
3000,1,76.1232259
3600,1,126.929548
4000,1,167.574477
5000,1,352.2037668
6000,1,597.1177238
7000,1,1066.466693
100,2,0.0016494
200,2,0.0069824
400,2,0.0486251
800,2,0.3991624
1000,2,0.7848704
1200,2,1.4300256
1400,2,2.4235307
1600,2,5.0604797
2000,2,12.2369176
2600,2,35.1861821
3000,2,54.3665369
3600,2,89.7233857
4000,2,116.581684
5000,2,212.5579891
6000,2,346.0795367
7000,2,581.3149197
100,4,0.0020551
